Date,Index Code,Index Chinese Name(Full),Index Chinese Name,Index English Name(Full),Index English Name,Open,High,Low,Close,Change,Change(%),Volume(share),Turnover,Number of Cons.
2021-01-05,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5245.8355,5368.5049,5234.3775,5368.5049,100.79,1.91,22493115900.0000,498041939761.0000,300
2021-01-04,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5212.9313,5284.4343,5190.9372,5267.7181,56.43,1.08,21171138200.0000,452796175554.0000,300
2021-01-01,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,,,,,,,,,300
2020-12-31,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5122.4799,5215.6178,5122.4799,5211.2885,97.58,1.91,17160250900.0000,358731371835.0000,300
2020-12-30,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5037.9848,5113.7105,5036.6288,5113.7105,70.77,1.4,14862644800.0000,296577812603.0000,300
2020-12-29,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5071.449,5077.4167,5034.3078,5042.9361,-21.48,-0.42,14119866200.0000,279035233254.0000,300
2020-12-28,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5042.9432,5089.3447,5037.8582,5064.4147,22.4,0.44,13691440700.0000,281019254171.0000,300
2020-12-25,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4985.7695,5042.0978,4973.6812,5042.0137,42,0.84,12100697900.0000,243992268243.0000,300
2020-12-24,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5006.0051,5033.038,4979.2371,5000.0154,-7.11,-0.14,11441866700.0000,246674476189.0000,300
2020-12-23,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4977.2994,5028.4506,4968.1509,5007.1235,42.35,0.85,14029281900.0000,308729037474.0000,300
2020-12-22,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5034.9831,5055.1348,4960.9457,4964.7727,-82.07,-1.63,16234497000.0000,326758817663.0000,300
2020-12-21,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4995.7622,5048.5074,4969.999,5046.8396,46.87,0.94,14081178200.0000,298204296843.0000,300
2020-12-18,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5014.3211,5027.4446,4979.0051,4999.9678,-17.51,-0.35,12804961800.0000,258938551536.0000,300
2020-12-17,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4960.729,5021.6171,4950.3713,5017.4784,63.61,1.28,13338547900.0000,270180356109.0000,300
2020-12-16,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4957.2971,4968.8558,4938.1932,4953.867,8.77,0.18,10677896800.0000,229696035697.0000,300
2020-12-15,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4931.6019,4954.1885,4904.7926,4945.1,10.26,0.21,11834263300.0000,248093390249.0000,300
2020-12-14,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4903.627,4937.2601,4887.6599,4934.8352,45.21,0.92,12080155200.0000,247878279711.0000,300
2020-12-11,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4957.8236,4957.8236,4849.3547,4889.6292,-50.9,-1.03,15935769700.0000,275212730070.0000,300
2020-12-10,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4931.2933,4962.7433,4919.7696,4940.5249,-2.17,-0.04,12591427000.0000,229651278357.0000,300
2020-12-09,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5022.3846,5033.6417,4942.5195,4942.6986,-67.18,-1.34,13891696500.0000,260772774153.0000,300
2020-12-08,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5029.1063,5043.0605,4998.9218,5009.8786,-12.36,-0.25,12307302900.0000,234880648439.0000,300
2020-12-07,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,5065.7285,5067.8698,5014.609,5022.2351,-43.68,-0.86,13989621700.0000,264657773933.0000,300
